03-Jun;;;;;;
;;;;;;
Saldo em conta:;;;;;;
;;;;;;
R$ 9.263,06;;;;;;
;;;;;;
04-Jun;;05-Jun;;08-Jun;;
;;;;;;
D1 R$ -332,40;;D2 R$ -6.107,00;;D3 R$ 0,00;;DN R$ 0,00
;;;;;;
Saldo final:;;;;;;
;;;;;;
R$ 2.823,66;;;;;;
;;;;;;
Período:;;;;;;
Visualização:;;;;;;
Versão Clear;;;;;;
Versão CBLC;;;;;;
Notas;;;;;;
;;;;;;
2020;;;;;;
;;;;;;
Abril;;;;;;
;;;;;;
Dt Liq;Dt Mov;Descrição;Valor (R$);Saldo (R$);;
;;;;;;
Dt Liq;Dt Mov;Descrição;Valor (R$);Saldo (R$);;
Seg 4;Qui 30;AJUSTE DAY-TRADE 30/04/2020 202142 WIN ;-247;7.351,15;;
Seg 4;Qui 30;BMF - TAXA DE REGISTRO 30/04/2020;-13,12;7.338,03;;
Seg 4;Qui 30;BMF - TAXA EMOLUMENTOS 30/04/2020;-6,56;7.331,47;;
Ter 5;Seg 4;BMF - TAXA DE REGISTRO 04/05/2020;-0,32;7.331,15;;
Ter 5;Seg 4;BMF - TAXA EMOLUMENTOS 04/05/2020;-0,16;7.330,99;;
Ter 5;Seg 4;AJUSTE DAY-TRADE 04/05/2020 223690 WIN ;-25;7.305,99;;
Qua 6;Ter 5;BMF - TAXA DE REGISTRO 05/05/2020;-0,64;7.305,35;;
Qua 6;Ter 5;BMF - TAXA EMOLUMENTOS 05/05/2020;-0,32;7.305,03;;
Qua 6;Ter 5;IRRF S/ DAY TRADE 05/05/2020;-1,49;7.303,54;;
Qua 6;Ter 5;AJUSTE DAY-TRADE 05/05/2020 245269 WIN ;150;7.453,54;;
Qui 7;Qua 6;IRRF S/ DAY TRADE 06/05/2020;-1,64;7.451,90;;
Qui 7;Qua 6;AJUSTE DAY-TRADE 06/05/2020 268482 WIN ;171;7.622,90;;
Qui 7;Qua 6;BMF - TAXA DE REGISTRO 06/05/2020;-4,16;7.618,74;;
Qui 7;Qua 6;BMF - TAXA EMOLUMENTOS 06/05/2020;-2,08;7.616,66;;
Sex 8;Qui 7;AJUSTE DAY-TRADE 07/05/2020 291775 WIN ;-522;7.094,66;;
Sex 8;Qui 7;ISS/PIS/COFINS BM&F ;-1,6;7.093,06;;
Sex 8;Qui 7;CUSTOS OPERACIONAIS 291775 PREGÃO 07/05/2020;-15;7.078,06;;
Sex 8;Qui 7;BMF - TAXA DE REGISTRO 07/05/2020;-22,08;7.055,98;;
Sex 8;Qui 7;BMF - TAXA EMOLUMENTOS 07/05/2020;-11,04;7.044,94;;
Seg 11;Sex 8;BMF - TAXA DE REGISTRO 08/05/2020;-8,96;7.035,98;;
Seg 11;Sex 8;BMF - TAXA EMOLUMENTOS 08/05/2020;-4,48;7.031,50;;
Seg 11;Sex 8;AJUSTE DAY-TRADE 08/05/2020 315386 WIN ;-84;6.947,50;;
Qua 13;Ter 12;IRRF S/ DAY TRADE 12/05/2020;-0,2;6.947,30;;
Qua 13;Ter 12;AJUSTE DAY-TRADE 12/05/2020 362393 WIN ;34;6.981,30;;
Qua 13;Ter 12;BMF - TAXA DE REGISTRO 12/05/2020;-9,28;6.972,02;;
Qua 13;Ter 12;BMF - TAXA EMOLUMENTOS 12/05/2020;-4,64;6.967,38;;
Qui 14;Qua 13;BMF - AJUSTE DE POSIÇÃO 13/05/2020 387402;-34,2;6.933,18;;
Qui 14;Qua 13;AJUSTE DAY-TRADE 13/05/2020 387402 WIN ;-435;6.498,18;;
Qui 14;Qua 13;BMF - TAXA DE REGISTRO 13/05/2020;-29,38;6.468,80;;
Qui 14;Qua 13;BMF - TAXA EMOLUMENTOS 13/05/2020;-14,69;6.454,11;;
Qui 14;Qui 14;PREVIA CHAMADA DE MARGEM;-2.809,85;3.644,26;;
Qui 14;Qui 14;ESTORNO PREVIA CHAMADA DE MARGEM;2.809,85;6.454,11;;
Qui 14;Qui 14;CHAMADA DE MARGEM;-2.393,37;4.060,74;;
Sex 15;Qui 14;BMF - TAXA DE REGISTRO 14/05/2020;-6,98;4.053,76;;
Sex 15;Qui 14;BMF - TAXA EMOLUMENTOS 14/05/2020;-3,49;4.050,27;;
Sex 15;Qui 14;IRRF S/ DAY TRADE 14/05/2020;-6,08;4.044,19;;
Sex 15;Qui 14;BMF - AJUSTE DE POSIÇÃO 14/05/2020 412138;-61,8;3.982,39;;
Sex 15;Qui 14;AJUSTE DAY-TRADE 14/05/2020 412138 WIN ;619;4.601,39;;
Sex 15;Sex 15;DEVOLUÇÃO DE MARGEM;2.393,37;6.994,76;;
Seg 18;Sex 15;IRRF S/ DAY TRADE 15/05/2020;-0,25;6.994,51;;
